document_id,text,label_id,label_text
1523,"On July 16, 1980 Defendants moved the Court for a Judgment on the Pleadings asserting inter alia that §17402 is unconstitutional because the wording is vague and could lend itself to Overbroad interpretation.",1,Facts
1578,"This matter came before the Court on Defendant's motion to quash request for jury on March 7, 1980, before Judge Richard H. Benson.",1,Facts
1579,"Plaintiff was represented by David Dooley, and defendant was represented by Davor Pevec and Thomas Himrod.",1,Facts
1580,The Court ruled to reserve decision on the motion to quash.,1,Facts
1598,"The matter came for hearing on a motion to vacate sentence in the above-entitled Court before the Honorable Paul J. Abbate on March 19, 1980.",1,Facts
1599,The defendant was represented by Assistant Public Defender Richard Pipes and the Territory of Guam was represented by Deputy Attorney General R. Barrie Michelsen.,1,Facts
1600,The Court received testimony and oral arguments from both parties.,1,Facts
1601,Defendant's expressed purpose for vacating sentence was to allow him the opportunity to perfect an appeal of his conviction.,1,Facts
1602,The evidence offered showed that his original appeal in 1976 was not perfected as a result of a clerical error by the staff of the Court.,1,Facts
1605,Within the federal case law there are decisions where the appellate court did not accept a notice of appeal that resulted from procedural correction of a clerical error by the method being attempted herein.,1,Facts
1612,"This matter comes before the Court on Plaintiffs' motion for reconsideration filed July 14, 1978.",1,Facts
1613,"Defendant Guam Memorial Hospital, (GMH), filed its motion for summary judgment on May 26, 1978 asserting the applicability of the Government Claims Act (GC Sections 6500 et seq.) to suits against GMH.",1,Facts
1614,"That motion was granted by an order filed July 13, 1978 which stated that ""plaintiff failed to comply with the Government Claims Act. .",1,Facts
1615,"The Court finds that the intent of the Legislature was to include Guam Memorial Hospital within the statutory scheme of that act.""",1,Facts
1618,"The discussion of May 11, 1977 dealt with the propriety of deleting any reference to the Government Claims Act, The transcript indicated that the language was deleted with full understanding that thereafter claims against GMH would not be paid through the Government Claims Fund but through GMH's own funds.",1,Facts
1619,"Plaintiffs rely upon the transcript to bolster their original claim that the language of Government Code §49003(g), as it passed into law, did not cloak the Guam Memorial Hospital'with the protection of the Government Claims Act.",1,Facts
1638,"Defendant argues that it is impossible to reconcile plaintiff's position with the language of §6500.19 which mentions ""claims against"" GMH.",1,Facts
1655,"On November 26, 1979, a Motion to Suppress was scheduled in the Superior Court in People of the Territory of Guam v. Larry J. Flores, (S.Ct.",1,Facts
1657,"However, rather than hear the motion to suppress, the Superior Court entertained an application to disqualify the Attorney General of Guam from acting as prosecutor in the case.",1,Facts
1658,"On that same date an order was signed by the Honorable Paul J. Abbate, in which he disqualified the Attorney General's Office, due to an alleged conflict of interest, and in which the Presiding Judge then appointed a Special Prosecutor of his own choice.",1,Facts
1659,"On December 5, 1979, a Stay Order was’ entered by the District Court, ordering the Superior Court to refrain from taking any further action in People v. Flores, supra, pending the final determination of a December 5, 1979 Writ of Prohibition filed by the Government.",1,Facts
1660,"An initial hearing was had on this matter on December 17, 1979, with proceedings continued until December 27, 1979 so that the parties could have additional time to brief the issues presented.",1,Facts
