id,text,label_id,label_text
20482,* * * * I called Mrs. Downey and told her that I would like to bring some of Mike’s clothes over there as he had left them at my place.,1,Facts
20738,"* * *” This appeal, in effect, represented to the jury that appellant had not previously served time in jail for an offense.",4,Analysis
20640,"“ ‘If there had been someone else in the car with the defendant, Judge Fletcher [appellant’s attorney] would have had him here.’ ”",1,Facts
20458,“Appellant takes issue with our statement in the original opinion that the holding in Rotner v.,1,Facts
20847,"“by inviting and encouraging and inducing him to go to a place in Harris County, Texas, said place being a place where intoxicating liquors were sold, and to partake of said intoxicating liquors by then and there buying for and giving to the said Edward Sandels said intoxicating liquors.”",1,Facts
20509,“Defendant duly sentenced.,1,Facts
20607,“I asked her to have intercourse with me and she said she was afraid her husband would come in.,1,Facts
20474,"“I believe that it was back last April of this year that I was with Robert ‘Mike’ Downey’s big brother and one night Mike, George ‘Pat’ Downey and David Hughes went to my home and I believe that it was at night I do not know the date but it was in April, after we arrived there I had a urge to see the boys without any clothes on so I asked them if they would pull off of their clothes.",1,Facts
20484,“I mean I took the pictures for the purpose of sex education.,1,Facts
20397,“The homicide must be the consequence of the act done or attempted to be done.”,1,Facts
20457,“The omission from the caption of any notice of intention to change the penalty renders the amending act inoperative.”,1,Facts
20750,"“The other statement that I don’t think he need to say, ‘That you’re going to ruin this guy’s life by putting him over here in the jail.’ It’s a reasonable deduction since he went into this that this isn’t the first time this man has been in jail.”",1,Facts
20609,"“The statements and conduct of prosecutrix said and done shortly after the transaction may be proved as original evidence if suffering excludes the idea of fabrication, and the statements or conduct are spontaneous and instinctive, and there is no break or let-down in the continuity of the transaction.",1,Facts
20395,“There is nothing in the record to suggest that the collision would not have occurred with the same results had the truck been traveling at thirty miles per hour instead of thirty-five.,1,Facts
20453,“There was a material change in the penalty.,1,Facts
20513,"• On January 3, Fred Beavers accompanied the appellant in his '55 red and cream or red and white Oldsmobile 88 automobile from Morton to Kermit to get their pay checks.",1,Facts
20706,"128; Sethman v. Liberty National Bank of Oklahoma City, Oklahoma, 55 S.W. 2d 644 (Civ. App.) writ dismissed.",7,Invalid sentences
