id,text,label_id,label_text
21490,* * * * I called Mrs. Downey and told her that I would like to bring some of Mike’s clothes over there as he had left them at my place.,1,Facts
21746,"* * *” This appeal, in effect, represented to the jury that appellant had not previously served time in jail for an offense.",1,Facts
21648,"“ ‘If there had been someone else in the car with the defendant, Judge Fletcher [appellant’s attorney] would have had him here.’ ”",1,Facts
21466,“Appellant takes issue with our statement in the original opinion that the holding in Rotner v.,7,Invalid sentences
21855,"“by inviting and encouraging and inducing him to go to a place in Harris County, Texas, said place being a place where intoxicating liquors were sold, and to partake of said intoxicating liquors by then and there buying for and giving to the said Edward Sandels said intoxicating liquors.”",7,Invalid sentences
21517,“Defendant duly sentenced.,5,Conclusion
21615,“I asked her to have intercourse with me and she said she was afraid her husband would come in.,1,Facts
21482,"“I believe that it was back last April of this year that I was with Robert ‘Mike’ Downey’s big brother and one night Mike, George ‘Pat’ Downey and David Hughes went to my home and I believe that it was at night I do not know the date but it was in April, after we arrived there I had a urge to see the boys without any clothes on so I asked them if they would pull off of their clothes.",1,Facts
21492,“I mean I took the pictures for the purpose of sex education.,1,Facts
21405,“The homicide must be the consequence of the act done or attempted to be done.”,1,Facts
21465,“The omission from the caption of any notice of intention to change the penalty renders the amending act inoperative.”,3,Rule/Law/Holding
21758,"“The other statement that I don’t think he need to say, ‘That you’re going to ruin this guy’s life by putting him over here in the jail.’ It’s a reasonable deduction since he went into this that this isn’t the first time this man has been in jail.”",1,Facts
21617,"“The statements and conduct of prosecutrix said and done shortly after the transaction may be proved as original evidence if suffering excludes the idea of fabrication, and the statements or conduct are spontaneous and instinctive, and there is no break or let-down in the continuity of the transaction.",4,Analysis
21403,“There is nothing in the record to suggest that the collision would not have occurred with the same results had the truck been traveling at thirty miles per hour instead of thirty-five.,1,Facts
21461,“There was a material change in the penalty.,1,Facts
21521,"• On January 3, Fred Beavers accompanied the appellant in his '55 red and cream or red and white Oldsmobile 88 automobile from Morton to Kermit to get their pay checks.",1,Facts
21714,"128; Sethman v. Liberty National Bank of Oklahoma City, Oklahoma, 55 S.W. 2d 644 (Civ. App.) writ dismissed.",7,Invalid sentences
21519,"1957 in Harris County, Texas, been duly and legally convicted on 5 cases, and his punishment therefor having been assessed and adjudged at confinement in the penitentiary for 8 years, and he having on the 26th day of February, 1957, by said court, been sentenced in due form of law in accordance with said convictions, it is further considered, ordered and adjudged that the punishment herein adjudged against the said defendant John Leonard Lee, shall begin when the said judgments and sentences on the preceding convictions shall have ceased to operate.”",7,Invalid sentences
21610,"1958, which reads as follows:",7,Invalid sentences
21576,"21, 317 S.W. 2d 737, we held that a by-pass road under construction, closed to through traffic but being used by persons other than the contractor and the Highway Department, was a public road.",7,Invalid sentences
21436,"222, Regular Session of the 56th Legislature, page 504.",7,Invalid sentences
21883,"237, 312 S.W. 2d 517, held that when a motion for continuance was not sworn to personally by appellant, he could not complain of the action of the trial court in overruling the motion.",7,Invalid sentences
21685,"258, 262 S.W. 2d 488, this court held, the prosecution being for unlawfully possessing whisky and other alcoholic beverages for the purpose of sale in a dry area, that an officer’s reading to the jury labels on bottles of beer and whisky claimed to have been found in and about appellant’s house was not error when the appellant objected on the grounds of hearsay.",7,Invalid sentences
21441,"35 of our Constitution, which says, in substance, that no bill, with certain exceptions (being general appropriations bills) shall contain more than one subject, which shall be expressed in its title.",3,Rule/Law/Holding
21637,"459, 314 S.W. 2d 605, the witness Monk testified that the man driving the Ford automobile involved in a collision with another car was the sole occupant thereof and that, following the collision, he saw this man “ ‘flying through the air’ ” and falling to the shoulder of the highway, where he lay motionless until the officers arrived.",7,Invalid sentences
21885,"488, 278 S.W. 2d 167, wherein it was held that where subpoena for a witness had not been issued, the overruling of the motion for continuance was not error.",7,Invalid sentences
21434,"508, 243 S.W. 2d 846, a death penalty conviction, we held no reversible error was reflected by argument not objected to where no mandatory provision of the statutes are violated and no new and harmful fact is injected into the case.",7,Invalid sentences
21705,"A litigant is not permitted during a trial on the merits to remain silent as to affirmative defenses known to him, and then when an adverse result is reached, on motion for new trial complain because of his own neglect.",3,Rule/Law/Holding
21419,A prior death penalty conviction against this appellant was reversed because of certain jury misconduct and procedural errors.,1,Facts
21851,"A re-examination of the evidence shows, in addition to the facts set out in our original opinion, that the appellant owned the property where the barbecue and beer were sold, but that he had rented it to another person who was operating it.",1,Facts
21390,A small portion of the front of appellant’s car struck a small portion of the right-hand side of the Smith car.,1,Facts
21787,"A. Knowles testified that shortly after midnight appellant ran a red light at an intersection where they were stopped, and almost hit the squad car; that they overtook appellant; that he had a very slurred speech and was very unsteady on his feet; his eyes were watery and bloodshot; there was a strong odor of alcohol on his breath and he said he had been drinking.",1,Facts
21510,"Acts done, statements and appearance of the participants, and other similar circumstances are all admissible as part of the res gestae when a witness narrates the events surrounding an offense.",3,Rule/Law/Holding
21564,"After carefully considering appellant’s three informal bills, we find no merit in any of them, and appellant’s contentions are denied.",5,Conclusion
21664,"After carefully reviewing the evidence, we find that appellant failed to introduce evidence upon which the jury could base",7,Invalid sentences
21486,After doing this awhile I got toy Polaroid camera and I took a picture of their privates.,1,Facts
21781,"After said request had been denied and the list of jurors chosen had been completed, and after some of the jurors had been called, counsel for the state discovered that he had struck only six names from the list whereas he had placed circled numbers from 1 to 6 opposite these six names and a circled number 7 opposite the name of the Juror Olivares, intending to strike his name also.",1,Facts
21588,"After the man left, the prosecutrix took her baby and went to a neighbor’s house across the street.",1,Facts
