id,text,label_id,label_text
19978,* * * * I called Mrs. Downey and told her that I would like to bring some of Mike’s clothes over there as he had left them at my place.,1,Facts
20234,"* * *” This appeal, in effect, represented to the jury that appellant had not previously served time in jail for an offense.",1,Facts
20136,"“ ‘If there had been someone else in the car with the defendant, Judge Fletcher [appellant’s attorney] would have had him here.’ ”",1,Facts
19954,“Appellant takes issue with our statement in the original opinion that the holding in Rotner v.,7,Invalid sentences
20343,"“by inviting and encouraging and inducing him to go to a place in Harris County, Texas, said place being a place where intoxicating liquors were sold, and to partake of said intoxicating liquors by then and there buying for and giving to the said Edward Sandels said intoxicating liquors.”",1,Facts
20005,“Defendant duly sentenced.,1,Facts
20103,“I asked her to have intercourse with me and she said she was afraid her husband would come in.,1,Facts
19970,"“I believe that it was back last April of this year that I was with Robert ‘Mike’ Downey’s big brother and one night Mike, George ‘Pat’ Downey and David Hughes went to my home and I believe that it was at night I do not know the date but it was in April, after we arrived there I had a urge to see the boys without any clothes on so I asked them if they would pull off of their clothes.",1,Facts
19980,“I mean I took the pictures for the purpose of sex education.,1,Facts
19893,“The homicide must be the consequence of the act done or attempted to be done.”,3,Rule/Law/Holding
19953,“The omission from the caption of any notice of intention to change the penalty renders the amending act inoperative.”,1,Facts
20246,"“The other statement that I don’t think he need to say, ‘That you’re going to ruin this guy’s life by putting him over here in the jail.’ It’s a reasonable deduction since he went into this that this isn’t the first time this man has been in jail.”",4,Analysis
20105,"“The statements and conduct of prosecutrix said and done shortly after the transaction may be proved as original evidence if suffering excludes the idea of fabrication, and the statements or conduct are spontaneous and instinctive, and there is no break or let-down in the continuity of the transaction.",4,Analysis
19891,“There is nothing in the record to suggest that the collision would not have occurred with the same results had the truck been traveling at thirty miles per hour instead of thirty-five.,4,Analysis
19949,“There was a material change in the penalty.,1,Facts
20009,"• On January 3, Fred Beavers accompanied the appellant in his '55 red and cream or red and white Oldsmobile 88 automobile from Morton to Kermit to get their pay checks.",1,Facts
20202,"128; Sethman v. Liberty National Bank of Oklahoma City, Oklahoma, 55 S.W. 2d 644 (Civ. App.) writ dismissed.",3,Rule/Law/Holding
20007,"1957 in Harris County, Texas, been duly and legally convicted on 5 cases, and his punishment therefor having been assessed and adjudged at confinement in the penitentiary for 8 years, and he having on the 26th day of February, 1957, by said court, been sentenced in due form of law in accordance with said convictions, it is further considered, ordered and adjudged that the punishment herein adjudged against the said defendant John Leonard Lee, shall begin when the said judgments and sentences on the preceding convictions shall have ceased to operate.”",1,Facts
20098,"1958, which reads as follows:",1,Facts
20064,"21, 317 S.W. 2d 737, we held that a by-pass road under construction, closed to through traffic but being used by persons other than the contractor and the Highway Department, was a public road.",7,Invalid sentences
19924,"222, Regular Session of the 56th Legislature, page 504.",7,Invalid sentences
20371,"237, 312 S.W. 2d 517, held that when a motion for continuance was not sworn to personally by appellant, he could not complain of the action of the trial court in overruling the motion.",7,Invalid sentences
20173,"258, 262 S.W. 2d 488, this court held, the prosecution being for unlawfully possessing whisky and other alcoholic beverages for the purpose of sale in a dry area, that an officer’s reading to the jury labels on bottles of beer and whisky claimed to have been found in and about appellant’s house was not error when the appellant objected on the grounds of hearsay.",7,Invalid sentences
19929,"35 of our Constitution, which says, in substance, that no bill, with certain exceptions (being general appropriations bills) shall contain more than one subject, which shall be expressed in its title.",7,Invalid sentences
20125,"459, 314 S.W. 2d 605, the witness Monk testified that the man driving the Ford automobile involved in a collision with another car was the sole occupant thereof and that, following the collision, he saw this man “ ‘flying through the air’ ” and falling to the shoulder of the highway, where he lay motionless until the officers arrived.",1,Facts
20373,"488, 278 S.W. 2d 167, wherein it was held that where subpoena for a witness had not been issued, the overruling of the motion for continuance was not error.",7,Invalid sentences
19922,"508, 243 S.W. 2d 846, a death penalty conviction, we held no reversible error was reflected by argument not objected to where no mandatory provision of the statutes are violated and no new and harmful fact is injected into the case.",5,Conclusion
20193,"A litigant is not permitted during a trial on the merits to remain silent as to affirmative defenses known to him, and then when an adverse result is reached, on motion for new trial complain because of his own neglect.",1,Facts
19907,A prior death penalty conviction against this appellant was reversed because of certain jury misconduct and procedural errors.,1,Facts
20339,"A re-examination of the evidence shows, in addition to the facts set out in our original opinion, that the appellant owned the property where the barbecue and beer were sold, but that he had rented it to another person who was operating it.",4,Analysis
19878,A small portion of the front of appellant’s car struck a small portion of the right-hand side of the Smith car.,1,Facts
20275,"A. Knowles testified that shortly after midnight appellant ran a red light at an intersection where they were stopped, and almost hit the squad car; that they overtook appellant; that he had a very slurred speech and was very unsteady on his feet; his eyes were watery and bloodshot; there was a strong odor of alcohol on his breath and he said he had been drinking.",1,Facts
19998,"Acts done, statements and appearance of the participants, and other similar circumstances are all admissible as part of the res gestae when a witness narrates the events surrounding an offense.",4,Analysis
20052,"After carefully considering appellant’s three informal bills, we find no merit in any of them, and appellant’s contentions are denied.",5,Conclusion
20152,"After carefully reviewing the evidence, we find that appellant failed to introduce evidence upon which the jury could base",5,Conclusion
19974,After doing this awhile I got toy Polaroid camera and I took a picture of their privates.,1,Facts
20269,"After said request had been denied and the list of jurors chosen had been completed, and after some of the jurors had been called, counsel for the state discovered that he had struck only six names from the list whereas he had placed circled numbers from 1 to 6 opposite these six names and a circled number 7 opposite the name of the Juror Olivares, intending to strike his name also.",1,Facts
20076,"After the man left, the prosecutrix took her baby and went to a neighbor’s house across the street.",1,Facts
20223,"After the motion for mistrial was overruled, the prosecutor continued, “You are not going to degrade him and you’re not going to ruin his life.",1,Facts
19999,"All the cases cited by the appellant deal with photographs taken by others, not by the",7,Invalid sentences
20020,An officer delivered the check found in the Oldsmobile to Johnny Jordan in the sheriff’s office in Littlefield.,1,Facts
20006,"And the said defendant, John Leonard Lee, having on the 26th day of February, A.",7,Invalid sentences
