text,label_id,label_text
The case number of the subsequent complaint filed against the defendant was not even made part of the record during the Superior Court hearing.,1,Facts
"Prior to the birth of Brenda, she (Barbara) was constantly involved in runaway proceedings and associated with stealing and burglary charges.",1,Facts
Barbara is mentally retarded.,1,Facts
"After the child, Brenda, was born her habitual running did not cease.",1,Facts
On occasion she would leave Brenda unattended.,1,Facts
"It was on December 10, 1979 that Barbara and Brenda were missing from the caretaker's home.",1,Facts
Barbara had taken her baby to the Guam International Airport and had abandoned the baby in the restroom.,1,Facts
"After the search warrant was issued, a search of Defendant’s house produced no narcotics but a firearm was found in the house.",1,Facts
"The natural father is, however, unknown.",1,Facts
"Appellee concedes that hearsay evidence may properly be considered by a magistrate in issuing a search warrant, so long as there is a substantial basis for believing the hearsay to be credible.",1,Facts
"As noted above, after an evidentiary hearing the trial court found as a fact that the previous buy at Rico's house 36 hours before seeking a warrant was not made under such strict supervision of the police that it provided probable cause for",1,Facts
"In other words the experience of the police with ""CRI"" was that he could be relied upon to give accurate information.",1,Facts
"In language often used by the courts, ""CRI"" was known to be a reliable informant.",1,Facts
"The Affidavit showed that in the two previous buys made by ""CRI"" under",1,Facts
Of course it is for the judge authorizing the warrant to find the facts from the evidence submitted in affidavit form.,1,Facts
"On February 5, 1976, the appellants sued the government of Guam on a cause of action alleging that the Government's failure to renew their teaching contracts was in violation of a 1972 collective bargaining agreement between the Department of Education and the Guam Federation of Teachers.",1,Facts
"Dated this 12th day of December, 1978.",1,Facts
It was only after the Trial Court took additional testimony at the hearing to suppress that it found the Rico residence is located where numerous other dwelling houses were located.,1,Facts
"The natural mother, Barbara, is a minor who is presently in the Department of Youth Affairs dormitory.",1,Facts
"The Affidavit in support of the subject Search Warrant recited that ""CRI"" was known to affiant police officer to be reliable because he had made two previous buys of narcotics under affiant's supervision and control.",1,Facts
"On September 20, 1979 based upon an application by the",1,Facts
"Department of Public Health and Social Services, a temporary removal order was made and Brenda was placed in foster care.",1,Facts
"Dated this 26th day of October, 1979.",1,Facts
The following facts were adduced at trial:,1,Facts
"On or about February 10, 1978, at approximately 1:05 p.m., a Mr. Duran of the Department of Public Safety Vice Division had gone with an Officer Sabían to the Sandy You Club in Tamuning.",1,Facts
Duran attempted to photograph appellant's performance.,1,Facts
"He was prevented from doing so by one of the club's waitresses, who informed him that taking pictures in the club was not permitted.",1,Facts
Duran then placed appellant under arrest.,1,Facts
"Appellant first makes a broad attack on Guam Criminal and Correctional Code §28.45 and §28.50, alleging that they are unconstitutionally vague and overbroad.",1,Facts
"After entering the club, Duran and Sabían sat at a table which was located approximately ten to fifteen feet in",1,Facts
"The Government's witness, Mr. Duran, admitted he did not see appellant's entire performance since he entered the Sandy You club after appellant had begun her dance.",1,Facts
"From this admittedly partially-observed performance, appellant argues that it was impossible for Duran to describe appellant's entire performance to the jury and therefore, it was impossible for the jury to determine whether the performance, as a whole, was in fact obscene.",1,Facts
"Brenda was born on September 7, 1979.",1,Facts
The controlling community is the entire territory of Guam.,1,Facts
"The above-entitled action is a special proceedings brought before the Court on behalf of the minor child, Brenda, natural daughter of the respondent, Barbara Finona.",1,Facts
"Brenda, the minor daughter of the respondent, was represented by Alberto J.C.",1,Facts
"The petition came before this Court for hearing on February 14, 1980.",1,Facts
"On September 20, 1979, the petitioner, an attorney at law, was appointed by this Court to represent the interests of the said minor, Brenda.",1,Facts
The petitioners in Marks were indicted for conduct occurring prior to the decision in Miller.,1,Facts
The sole issue before us is whether the affidavit and the testimony given to the judge issuing the search warrant were legally sufficient.,2,Issue
"In this appeal, appellant contends: (1) that Guam Criminal and Correctional Code §28.45 and §28.50 are unconstitutionally vague and overbroad, and the prosecution of the appellant thereunder violated her constitutional right to due process of law; and (2) the evidence presented against appellant was insufficient to sustain a conviction because the government failed to produce any evidence of the community standards of Guam; and (3) the evidence presented was insufficient to sustain a conviction because the jury was deprived of the opportunity to consider appellant's performance as a whole in reaching its determination as to whether or not she violated Guam's obscenity law.",2,Issue
"Unfortunately, there was some confusion at the October 25, 1975 hearing because it was only halfway through the proceedings that the Court was made to realize that the appellant had not been formally charged with the commission of another offense, i.e. by indictment or information, as required by the Code.",2,Issue
h. performs an obscene act or otherwise presents an obscene exhibition of his body in public place.,3,Rule/Law/Holding
(h) performs and obscene act or otherwise presents an obscene exhibition of his body in a public place.,3,Rule/Law/Holding
h. performs an obscene act or otherwise presents an obscene exhibition of his body in a public place.,3,Rule/Law/Holding
"(a) Patently offensive representation or descriptions of ultimate sexual acts normal or perverted, actual or simulated.",3,Rule/Law/Holding
Such evidence is probative with respect to the nature of the conduct and can justify the conclusion that the conduct is utterly without any redeeming social importance.,3,Rule/Law/Holding
"In determining the question of whether the alleged obscene live conduct is utterly without redeeming social importance, you may consider the circumstances of production, presentation, sale, dissemination, distribution or publicity, and particularly, whether such circumstances indicate that the live conduct was being commercially exploited by the defendant for the sake of its prurient appeal.",3,Rule/Law/Holding
The determination of whether matter is obscene is not to be made by weighing its social value or importance against its alleged prurient appeal for it is not obscene unless it is utterly without social value or importance.,3,Rule/Law/Holding
"The term utterly without redeeming social value or importance, as used in these instructions, means that the alleged obscene matter must be totally devoid of any redeeming literary, scientific of artistic value or any other of social importance.",3,Rule/Law/Holding
g. employs or uses a minor under the age of eighteen years to do or assist in doing any of the acts described in this section; or,3,Rule/Law/Holding
Section 28.50 of the Code provides in relevant part:,3,Rule/Law/Holding
e. presents or directs an obscene performance or participates in that portion thereof which makes it obscene; or,3,Rule/Law/Holding
"d. sells advertises or disseminates material, whether or not obscene, by advertising, representing or suggesting that is is obscene;",3,Rule/Law/Holding
c. possesses any obscene material with intent to distribute it is violation of this article;,3,Rule/Law/Holding
"b. prepares, published, prints, exhibits, distributes, or offers to distribute any obscene material;",3,Rule/Law/Holding
a.sends or brings any obscene material into this territory for sale or distribution;,3,Rule/Law/Holding
A person is guilty of misdemeanor if he knowingly or recklessly:,3,Rule/Law/Holding
(h) performs an obscene act or otherwise presents obscene exhibition of his body in a public place.,3,Rule/Law/Holding
