text,label_text
"This appeal concerns the revocation of appellant's release on bail by the Superior Court on October 24, 1975.","Facts, Issue"
"No indictment or information has been filed against the appellant, and there is nothing to show that any condition of release has been willfully violated by the defendant.","Facts, Conclusion"
"The October 24, 1975 revocation of defendant’s release on bail is reversed, and the defendant is ordered released on the same conditions as previously existed, with the additional condition that he stay at his parents' house and observe a curfew between the hours of 9:00 p.m. and 6:00 a.m.","Facts, Rule/Law/Holding"
"Since Miller permits the imposition of a lessor burden on the prosecution in this phase of the proof of obscenity than did Memoirs,","Facts, Invalid sentences"
"Before proceeding to appellant's Miller-based contentions, we.","Facts, Analysis"
What did you observe Miss Daly do on the stage?,"Facts, Others"
"She was dancing nude, and she exposed herself.","Facts, Others"
"observe that the Court expressly provided that it did not adopt as a constitutional standard the ""utterly without redeeming social value"" test (cf. part (c) of the Miller test), incorporated in part three of the test articulated in Memoirs v. Massachusetts, 86 S. Ct. 975, 977 (1966), and provided in §28.45(a)(3) of the Guam Criminal and Correctional Code.","Facts, Analysis"
"A year after Miller was decided, in Hamling v. United States, 94 S. Ct. 2887 (1974), the Court was presented with the question of whether its rejection of the third part of the Memoirs test and its revision in Miller indicated that the Memoirs formulation was determined to be unconstitutionally vague.","Facts, Rule/Law/Holding"
Memoirs was not rejected because it was so vague as to deprive criminal defendants of adequate notice but because it represented a departure from prior definitions of obscenity,"Facts, Analysis"
"In Marks v. United States, 97 S. Ct. 990 (1977), referring to the third part of the Memoirs test the Court added that ""clearly it was thought that some conduct which would have gone unpunished under Memoirs would result in conviction under Miller.""","Facts, Rule/Law/Holding"
"Because of this, the Court reasoned that they were entitled to jury instructions requiring the jury to acquit unless it found that the materials involved in the charge were, in accordance with the Memoirs standard, ""utterly without redeeming social value.""","Facts, Rule/Law/Holding"
"Because the tantamount language ""utterly without redeeming social importance"" is expressly a part of the Guam statute, the trial judge in the instant case was required, as was the trial judge in the instant case was required, as was the trial judge in Marks, to instruct the jury on this standard.","Facts, Analysis"
