document_id,text,label_id,label_text
285,"This appeal concerns the revocation of appellant's release on bail by the Superior Court on October 24, 1975.",1,Facts
288,"No indictment or information has been filed against the appellant, and there is nothing to show that any condition of release has been willfully violated by the defendant.",1,Facts
294,The case number of the subsequent complaint filed against the defendant was not even made part of the record during the Superior Court hearing.,1,Facts
295,"The October 24, 1975 revocation of defendant’s release on bail is reversed, and the defendant is ordered released on the same conditions as previously existed, with the additional condition that he stay at his parents' house and observe a curfew between the hours of 9:00 p.m. and 6:00 a.m.",1,Facts
296,"Dated this 26th day of October, 1979.",1,Facts
303,The following facts were adduced at trial:,1,Facts
304,"On or about February 10, 1978, at approximately 1:05 p.m., a Mr. Duran of the Department of Public Safety Vice Division had gone with an Officer Sabían to the Sandy You Club in Tamuning.",1,Facts
305,"After entering the club, Duran and Sabían sat at a table which was located approximately ten to fifteen feet in",1,Facts
306,Duran attempted to photograph appellant's performance.,1,Facts
307,"He was prevented from doing so by one of the club's waitresses, who informed him that taking pictures in the club was not permitted.",1,Facts
308,Duran then placed appellant under arrest.,1,Facts
420,"Since Miller permits the imposition of a lessor burden on the prosecution in this phase of the proof of obscenity than did Memoirs,",1,Facts
317,"Appellant first makes a broad attack on Guam Criminal and Correctional Code §28.45 and §28.50, alleging that they are unconstitutionally vague and overbroad.",1,Facts
318,"Before proceeding to appellant's Miller-based contentions, we.",1,Facts
388,What did you observe Miss Daly do on the stage?,1,Facts
389,"She was dancing nude, and she exposed herself.",1,Facts
319,"observe that the Court expressly provided that it did not adopt as a constitutional standard the ""utterly without redeeming social value"" test (cf. part (c) of the Miller test), incorporated in part three of the test articulated in Memoirs v. Massachusetts, 86 S. Ct. 975, 977 (1966), and provided in §28.45(a)(3) of the Guam Criminal and Correctional Code.",1,Facts
320,"A year after Miller was decided, in Hamling v. United States, 94 S. Ct. 2887 (1974), the Court was presented with the question of whether its rejection of the third part of the Memoirs test and its revision in Miller indicated that the Memoirs formulation was determined to be unconstitutionally vague.",1,Facts
321,Memoirs was not rejected because it was so vague as to deprive criminal defendants of adequate notice but because it represented a departure from prior definitions of obscenity,1,Facts
322,"In Marks v. United States, 97 S. Ct. 990 (1977), referring to the third part of the Memoirs test the Court added that ""clearly it was thought that some conduct which would have gone unpunished under Memoirs would result in conviction under Miller.""",1,Facts
324,The petitioners in Marks were indicted for conduct occurring prior to the decision in Miller.,1,Facts
