document_id,text,label_id,label_text
2216,"Further, the Act only covers negligent torts, and sovereign immunity is not waived for intentional wrongs of the employee.",1,Facts
2035,"This case comes before the Court on a ""Complaint to Recover Penalty"" by the Attorney General under Sections 17402 and 17402.1 of the Government Code of Guam.",1,Facts
2046,"The Government asserts that Defendant ""has not carried the burden of affirmatively showing that as applied to him, the statute in unreasonable, unfair and oppressive.""",1,Facts
2055,The significance of this fact is that the extent of permissible regulation greatly,1,Facts
2062,"The Government of Guam must use the least restrictive means that would accomplish the legislative purpose of Bill 754 (15th Guam Legislature, 1979 First Regular Session).",1,Facts
2063,"""For even when pursuing a legitimate interest, a State may not choose means that unnecessarily restrict constitutionally protected liberty....",1,Facts
2073,Truly this section does not regulate with narrow specificity.,1,Facts
2074,Rather it has the potential to intrude upon the very first of the Amendments of the Constitution.,1,Facts
2075,"Though the Government has so far restricted itself to ""the shopowners and business affected by the legislation"", this is of little comfort.",1,Facts
2076,"""So long as the statute remains available to the State the threat of prosecutions of protected expression is a real and substantial one.",1,Facts
2087,"That all permitted signs are illegal per se if not in English or Chamorro or without a translation into either, is contradictory to the most basic right of a democratic society - the First Amendment right to freedom of speech.",1,Facts
2089,"""It is generally believed that one of the reasons the statute was enacted was to regulate the many businesses on Guam which have signs entirely in a language other than English or Chamorro that were reported to be advertising pornographic materials for sale.",1,Facts
2092,"This matter came before the Court on Defendant's motion to quash request for jury on March 7, 1980, before Judge Richard H. Benson.",1,Facts
2093,"Plaintiff was represented by David Dooley, and defendant was represented by Davor Pevec and Thomas Himrod.",1,Facts
2109,A suit filed under the Claims Act is a very narrow and limited area for relief.,1,Facts
2112,"The matter came for hearing on a motion to vacate sentence in the above-entitled Court before the Honorable Paul J. Abbate on March 19, 1980.",1,Facts
2113,The defendant was represented by Assistant Public Defender Richard Pipes and the Territory of Guam was represented by Deputy Attorney General R. Barrie Michelsen.,1,Facts
2114,The Court received testimony and oral arguments from both parties.,1,Facts
2126,"This matter comes before the Court on Plaintiffs' motion for reconsideration filed July 14, 1978.",1,Facts
2138,All payments under this Act shall be made from the Government Claims Fund.,1,Facts
2147,"For this reason, plaintiffs maintain that §6500.13 is of no force and effect.",1,Facts
2151,"It is worthy of note that in addition to the provisions dealing with health professionals, §6500.13 includes the limitations on liability which are an essential part of the Government Claims Act.",1,Facts
2164,(a) Government Health Professionals means any person who is licensed or certified to practice a ‘healing art1 in Guam and is practicing that art within a Government of Guam facility as an agent of the Government of Guam.,1,Facts
