id,text,label_id,label_text
7611,Opinion approved by the Court.,5,Conclusion
7234,The judgment is affirmed.,1,Facts
7471,"Finding the evidence sufficient to support the conviction and no reversible error appearing, the judgment is affirmed.",5,Conclusion
16320,Appellant did not testify or offer any evidence in his own behalf.,1,Facts
7385,No brief has been filed on behalf of the appellant.,1,Facts
7917,We find the evidence sufficient to sustain the conviction.,5,Conclusion
16146,Appellant did not testify.,1,Facts
7620,The judgment is reversed and the cause is remanded.,5,Conclusion
7374,The appeal is dismissed.,5,Conclusion
7428,The contention is overruled.,5,Conclusion
7434,"Finding the evidence sufficient to sustain the conviction and no reversible error appearing, the judgment is affirmed.",4,Analysis
7641,"Finding the evidence sufficient to support the conviction and no reversible error appearing, the judgment of the trial court is affirmed.",1,Facts
7743,ON MOTION FOR REHEARING,7,Invalid sentences
16154,With such contention we do not agree.,6,Others
16337,The record on appeal contains no statement of facts or bills of exception.,1,Facts
16338,"All proceedings appear to be regular, and nothing is presented for review.",1,Facts
15862,"The conviction is for unlawful possession of barbiturates; the punishment, two years in jail and a fine of $1,000.",2,Issue
15863,"The testimony of three peace officers shows that while accompanied by two other officers they went to the house where the appellant lived to execute a search warrant, but before entering the house they stopped a short distance away.",1,Facts
15864,"While observing the house they saw several cars appear in front of the house, sound their horn, and the appellant go to each car and then return to the house.",1,Facts
15865,After a brief time they apprehended the appellant as he was leaving and with him they entered the house and searched it.,1,Facts
15866,Officer Geffert testified that to the best of his knowledge the appellant had been living in the house which they searched for about six months.,1,Facts
15867,"In a bedroom which the appellant told the officers was his room, and where the officers saw letters and traffic tickets bearing appellant’s name, and some clothing with the name or initial of Clyde Sewell on them, the officers found a match box containing two balloons with a white powder substance in them.",1,Facts
15868,Proof was offered that an analysis of the white powder substance in each of the balloons showed that it was barbituates.,1,Facts
15869,"Appellant did not testify but called three witnesses whose testimony was that the appellant did not and had not lived in the house searched, but was living at another place; that appellant’s father, Clyde William Sewell, his wife and son resided there, and that the clothing and tickets had the father’s name C. W. Sewell on them.",1,Facts
15870,"Mrs. Joyce Wisnoski, a sister of the appellant, testified that she was visiting in her father’s and mother’s home when it was searched; that appellant had left a short time before the officers entered the house with him, and that appellant lived at another place.",1,Facts
15871,She further testified that during the search she saw one of,7,Invalid sentences
