id,text,label_id,label_text
18089,* * * When I came upon the scene and pulled my car off the road and stopped and looked over * * * the accident he (appellant) was standing right there.,1,Facts
18288,"* * *” The mere omission, in the court’s order of transfer, of a recitation that it was with consent of the court to which the transfer was made would not render the order of transfer void.",3,Rule/Law/Holding
18341,"15, V.A.C.C.P., authorizes all persons confined in penal institutions of this state, except those persons under the sentence of death, to be released on parole after recommendation by the pardons board and the approval of the governor, when one-third of the maximum sentence imposed has been served, with the further provision that one may be paroled —in any case— after serving fifteen years.",3,Rule/Law/Holding
18287,"2, V.A.C.C.P., which reads “* * * provided no case shall be transferred without the consent of the Judge of the Court to which transferred.",3,Rule/Law/Holding
18335,"381, 271 S.W. 2d 663, in passing upon the question of jury misconduct directly growing out of the receipt of other testimony after retirement of the jury, it was held that this court’s primary concern was to determine whether or not the information received by the jury was untrue or was harmful to the appellant.",3,Rule/Law/Holding
18283,4 and 5 of Harris County was not in effect at that time.,3,Rule/Law/Holding
18279,"6, V.A.C.C.P., which reads: “The District Judges of the Criminal District Courts of Harris County shall successively appoint Grand Jury commissioners and empanel Grand Juries.”",3,Rule/Law/Holding
18306,"630, 323 S.W. 2d 43, and the cases there cited, calls for the reversal of the conviction and a dismissal of the prosecution under the present indictment.",3,Rule/Law/Holding
18331,"98, 267 S.W. 2d 557, and the facts in this case are identical with the reported facts in Montello’s case.",4,Analysis
18348,"A check payable to “Jesse Dagley, Trinity, Texas” drawn on the Houston Packing Company dated January 14 in the sum of $570.50 and endorsed “Jesse Dagley” was introduced in evidence.",1,Facts
18056,A judgment nisi which does not contain this statutory provision is void and cannot be made the basis of a final judgment.,3,Rule/Law/Holding
18016,"A short time later, the appellant returned stating that he wanted a second ring and an additional $5 cash.",1,Facts
18272,A witness was called by appellant who testified that he had seen the appellant a short time prior to the collision and that at such time he was not intoxicated.,1,Facts
18240,"About 3 P.M. the same day, the deceased entered a pool hall where Robert and appellant were.",1,Facts
18116,"Accident investigator Allison testified that when he arrived at the scene appellant was being loaded into an ambulance, that he later went to the hospital where he talked to appellant who was lying on a stretcher in the hall, that appellant admitted he had been the driver of the automobile involved in the collision and consented in writing to the taking of a blood test.",1,Facts
18035,"After the next witness called by the state had testified without objection to substantially the same facts, appellant moved to strike it on the same grounds.",1,Facts
18239,"After the proprietor heard Robert’s statement, he gave him $4.90 and Robert left.",1,Facts
18038,"After the witness testified without objection that appellant had told the grand jury his written statement was true, the witness was next asked if the appellant mentioned the officers offering him anything or threatening him and he replied: “No, sir, he did not.",1,Facts
18137,"Agent Bland testified that he was the first to leave the automobile and that he proceeded to a liquor store across the street from the Soto cafe where he set up a surveillance of the cafe, that he saw Tafolla coming from the direction of the automobile where he had left him, saw him enter the Soto cafe, that a short while thereafter Tafolla came out of the cafe in company with appellant, and while they were standing on the sidewalk one Victor Mandujano came up to them and the three engaged in a conversation.",1,Facts
18135,"Agent Bland, they went to the home of Edward Tafolla, who was at the time acting as a special employee of the Bureau of Narcotics and the San Antonio police, searched him, gave him $10.00, and carried him to a point in the city where they parked the government automobile in which they were traveling.",1,Facts
18046,"Although there was evidence without objection of several acts which were barred by limitation, yet such testimony was admissible.",1,Facts
17929,An analysis of the contents of the 3 capsules by Chemist Kenneth Anderson of the Alcohol and Tobacco Tax Division of the U. S.,1,Facts
18249,An examination of the deceased’s body by a physician revealed three gun shot wounds; two in the right abdomen and the third in the left buttock which entered from the back.,1,Facts
17965,Any claims of error for want of proper service became a nullity when the surities appeared in person and by counsel in open court upon the call of this cause and announced ready for.,4,Analysis
18068,Appelland and his wife testified that it was Hight and not appellant who lost his temper and was the aggressor throughout.,1,Facts
17962,"Appellant Martin, by written motion sought to quash the citation issued and served on him.",1,Facts
18300,Appellant and his counsel both agreed and stipulated in open court to the taking of the deposition of this witness.,1,Facts
18182,"Appellant and one James Lyles were arrested in Houston the following afternoon when they were seen in the automobile which had been parked near the drug store, description and license number of which had been reported to Houston officers.",1,Facts
18297,Appellant apparently urges this contention as fundamental error.,2,Issue
17953,"Appellant argues with much force that her possession of heroin, shown by the state’s evidence, was only such as necessarily resulted from her accommodation of Armstrong in its purchase.",2,Issue
17900,"Appellant called as witness his wife and Odell Harris, but neither was asked to express an opinion, or testify as to his con",1,Facts
18037,Appellant complains of the refusal of the trial court to grant a mistrial when a state’s witness volunteered information that appellant had taken a lie detector test.,2,Issue
18185,Appellant complains that the court erred in failing to charge the jury on the issue of insanity as a defense and on temporary insanity.,2,Issue
18193,Appellant contends that the court erred in not permitting his counsel to ask Mrs. Williams whether or not she had an opinion as to whether appellant knew the difference between right and wrong.,2,Issue
17901,Appellant contends that the court erred in permitting Dr. Mason to testify concerning the blood sample and its analysis and to give his opinion based thereon.,2,Issue
18045,Appellant contends that the trial court erred in admitting evidence of acts of intercourse between the appellant and prosecutrix beyond the period of limitation.,2,Issue
18254,Appellant did not testify but called his brother Robert and several other witnesses.,1,Facts
17997,Appellant did not testify or call any witnesses who gave testimony material to the issue of his guilt.,1,Facts
17931,Appellant did not testify or offer any evidence in her behalf.,1,Facts
18107,Appellant did not testify or offer any evidence.,1,Facts
18152,"Appellant filed a motion to reinstate the appeal and sought to amend the bond by filing a new bond, claiming his right to do so under the provisions of Art. 835, Vernon’s Ann.",1,Facts
18100,Appellant fled the scene prior to the arrival of the ambulance.,1,Facts
17896,Appellant further testified that he and his wife were taken to Parkland Hospital where she was laid on.,1,Facts
17945,Appellant insists that the court committed reversible error in permitting the state’s witness to testify that on prior occasions he had purchased heroin from her over the objection that such was proof of extraneous offenses.,2,Issue
18102,"Appellant stated that he intended to give himself up, but, instead, he successfully evaded officers who were searching for him for two days.",1,Facts
17873,"Appellant testified that Butler stopped him and asked him for a pint of whisky, and he told him he did not sell whisky and had none.",1,Facts
18271,Appellant testified that any loss of his mental and physical faculties at such time was caused by an asthmatic condition from which he was then suffering.,1,Facts
18017,"Appellant then drew a check for $17, gave it to the injured party, his original check for $7 was destroyed and the injured party gave him another ring and $5 cash.",1,Facts
18274,"Appellant urges as fundamental error, (1) that the indictment presented against him was returned by a grand jury which was not duly and legally impanelled and (2) that the Criminal District Court No. 4, in which he was tried and convicted, was without jurisdiction and authority to try him because the cause had not been legally transferred to said court.",2,Issue
18187,Appellant was arrested the following day and two or three days later was released on bond.,1,Facts
18150,"Appellant was convicted in the corporation court of the City of Del Rio, Val Verde County, for the offense of unlawfully plac",1,Facts
17978,Appellant was convicted of the offense of assault with intent to murder without malice and his punishment was assessed at two years.,1,Facts
