id,text,label_id,label_text
17597,* * * When I came upon the scene and pulled my car off the road and stopped and looked over * * * the accident he (appellant) was standing right there.,1,Facts
17796,"* * *” The mere omission, in the court’s order of transfer, of a recitation that it was with consent of the court to which the transfer was made would not render the order of transfer void.",4,Analysis
17849,"15, V.A.C.C.P., authorizes all persons confined in penal institutions of this state, except those persons under the sentence of death, to be released on parole after recommendation by the pardons board and the approval of the governor, when one-third of the maximum sentence imposed has been served, with the further provision that one may be paroled —in any case— after serving fifteen years.",3,Rule/Law/Holding
17795,"2, V.A.C.C.P., which reads “* * * provided no case shall be transferred without the consent of the Judge of the Court to which transferred.",7,Invalid sentences
17843,"381, 271 S.W. 2d 663, in passing upon the question of jury misconduct directly growing out of the receipt of other testimony after retirement of the jury, it was held that this court’s primary concern was to determine whether or not the information received by the jury was untrue or was harmful to the appellant.",3,Rule/Law/Holding
17791,4 and 5 of Harris County was not in effect at that time.,7,Invalid sentences
17787,"6, V.A.C.C.P., which reads: “The District Judges of the Criminal District Courts of Harris County shall successively appoint Grand Jury commissioners and empanel Grand Juries.”",7,Invalid sentences
17814,"630, 323 S.W. 2d 43, and the cases there cited, calls for the reversal of the conviction and a dismissal of the prosecution under the present indictment.",1,Facts
17839,"98, 267 S.W. 2d 557, and the facts in this case are identical with the reported facts in Montello’s case.",7,Invalid sentences
17856,"A check payable to “Jesse Dagley, Trinity, Texas” drawn on the Houston Packing Company dated January 14 in the sum of $570.50 and endorsed “Jesse Dagley” was introduced in evidence.",1,Facts
17564,A judgment nisi which does not contain this statutory provision is void and cannot be made the basis of a final judgment.,4,Analysis
17524,"A short time later, the appellant returned stating that he wanted a second ring and an additional $5 cash.",1,Facts
17780,A witness was called by appellant who testified that he had seen the appellant a short time prior to the collision and that at such time he was not intoxicated.,1,Facts
17748,"About 3 P.M. the same day, the deceased entered a pool hall where Robert and appellant were.",1,Facts
17624,"Accident investigator Allison testified that when he arrived at the scene appellant was being loaded into an ambulance, that he later went to the hospital where he talked to appellant who was lying on a stretcher in the hall, that appellant admitted he had been the driver of the automobile involved in the collision and consented in writing to the taking of a blood test.",1,Facts
17543,"After the next witness called by the state had testified without objection to substantially the same facts, appellant moved to strike it on the same grounds.",4,Analysis
17747,"After the proprietor heard Robert’s statement, he gave him $4.90 and Robert left.",1,Facts
17546,"After the witness testified without objection that appellant had told the grand jury his written statement was true, the witness was next asked if the appellant mentioned the officers offering him anything or threatening him and he replied: “No, sir, he did not.",4,Analysis
17645,"Agent Bland testified that he was the first to leave the automobile and that he proceeded to a liquor store across the street from the Soto cafe where he set up a surveillance of the cafe, that he saw Tafolla coming from the direction of the automobile where he had left him, saw him enter the Soto cafe, that a short while thereafter Tafolla came out of the cafe in company with appellant, and while they were standing on the sidewalk one Victor Mandujano came up to them and the three engaged in a conversation.",1,Facts
17643,"Agent Bland, they went to the home of Edward Tafolla, who was at the time acting as a special employee of the Bureau of Narcotics and the San Antonio police, searched him, gave him $10.00, and carried him to a point in the city where they parked the government automobile in which they were traveling.",1,Facts
