id,text,label_id,label_text
23055,* * * * I called Mrs. Downey and told her that I would like to bring some of Mike’s clothes over there as he had left them at my place.,3,Rule/Law/Holding
23276,"* * *” This appeal, in effect, represented to the jury that appellant had not previously served time in jail for an offense.",1,Facts
23194,"“ ‘If there had been someone else in the car with the defendant, Judge Fletcher [appellant’s attorney] would have had him here.’ ”",2,Issue
23035,“Appellant takes issue with our statement in the original opinion that the holding in Rotner v.,1,Facts
23372,"“by inviting and encouraging and inducing him to go to a place in Harris County, Texas, said place being a place where intoxicating liquors were sold, and to partake of said intoxicating liquors by then and there buying for and giving to the said Edward Sandels said intoxicating liquors.”",1,Facts
23079,“Defendant duly sentenced.,2,Issue
23164,“I asked her to have intercourse with me and she said she was afraid her husband would come in.,2,Issue
23047,"“I believe that it was back last April of this year that I was with Robert ‘Mike’ Downey’s big brother and one night Mike, George ‘Pat’ Downey and David Hughes went to my home and I believe that it was at night I do not know the date but it was in April, after we arrived there I had a urge to see the boys without any clothes on so I asked them if they would pull off of their clothes.",1,Facts
23057,“I mean I took the pictures for the purpose of sex education.,1,Facts
22978,“The homicide must be the consequence of the act done or attempted to be done.”,1,Facts
23034,“The omission from the caption of any notice of intention to change the penalty renders the amending act inoperative.”,1,Facts
23287,"“The other statement that I don’t think he need to say, ‘That you’re going to ruin this guy’s life by putting him over here in the jail.’ It’s a reasonable deduction since he went into this that this isn’t the first time this man has been in jail.”",2,Issue
23166,"“The statements and conduct of prosecutrix said and done shortly after the transaction may be proved as original evidence if suffering excludes the idea of fabrication, and the statements or conduct are spontaneous and instinctive, and there is no break or let-down in the continuity of the transaction.",1,Facts
22976,“There is nothing in the record to suggest that the collision would not have occurred with the same results had the truck been traveling at thirty miles per hour instead of thirty-five.,1,Facts
23031,“There was a material change in the penalty.,1,Facts
23083,"• On January 3, Fred Beavers accompanied the appellant in his '55 red and cream or red and white Oldsmobile 88 automobile from Morton to Kermit to get their pay checks.",1,Facts
23249,"128; Sethman v. Liberty National Bank of Oklahoma City, Oklahoma, 55 S.W. 2d 644 (Civ. App.) writ dismissed.",5,Conclusion
23081,"1957 in Harris County, Texas, been duly and legally convicted on 5 cases, and his punishment therefor having been assessed and adjudged at confinement in the penitentiary for 8 years, and he having on the 26th day of February, 1957, by said court, been sentenced in due form of law in accordance with said convictions, it is further considered, ordered and adjudged that the punishment herein adjudged against the said defendant John Leonard Lee, shall begin when the said judgments and sentences on the preceding convictions shall have ceased to operate.”",4,Analysis
23161,"1958, which reads as follows:",1,Facts
23131,"21, 317 S.W. 2d 737, we held that a by-pass road under construction, closed to through traffic but being used by persons other than the contractor and the Highway Department, was a public road.",6,Others
23007,"222, Regular Session of the 56th Legislature, page 504.",1,Facts
